Season,Name,Eliminated
9,Jennifer Wilson,Week 8
9,Sadie Murray,Week 7
9,Lisa Blank,Week 6
9,Agnese Polliza,Week 5
9,Jeanette Pawula,Week 4
9,Desiree Valentin,Week 4
9,Jami Matzke,Week 3
9,Gina Clark,Week 3
9,Erica Rose,Week 3
9,Sarah Schnare,Week 2
9,Kim Jackson,Week 2
9,Ellen DeMaio,Week 2
9,Tara Durr,Week 1
9,Rosella Fratto,Week 1
9,Rita Ghazal,Week 1
9,Renee Snell,Week 1
9,Meri Barr,Week 1
9,Laura Morgan,Week 1
9,Jessica Horner,Week 1
9,Heather Sneed,Week 1
9,Elyse Greenebaum,Week 1
9,Cosetta Blanca,Week 1
9,Claudia Gismondi,Week 1
9,Carissa Ilburg,Week 1
9,Brit Keeder,Week 1
9,Andrea Shirley,Week 1
9,April Jacobs,Week 1
10,Tessa Horst,Week 9 
10,Bevin Nicole Powers,Week 8
10,Danielle Imwalle,Week 7
10,Amber Alchalabi,Week 6
10,Stephanie Wilhite,Week 5
10,Tina Wu,Week 5
10,Kate Brockhouse,Week 4
10,Nicole Clary,Week 4
10,Stephanie Tipper,Week 4
10,Amanda Hackney,Week 3
10,Erin Parker,Week 3
10,Peyton Wright,Week 3
10,Alexis Young,Week 2
10,Susan Anderson,Week 2
10,Tiffany Warren,Week 2
10,Blakeney Rowe,Week 1
10,Candace DeCost,Week 1
10,Catherine Warren,Week 1
10,Danielle Vallis,Week 1
10,Jackie Topelli,Week 1
10,Jeanette Alvarez,Week 1
10,Jessica Devallo,Week 1
10,Linda Malek,Week 1
10,Lindsay Smith,Week 1
10,Tiffany Forester,Week 1
11,Deanna Pappas,Week 8
11,Jenni Croft,Week 8
11,Bettina Bell,Week 7
11,Sheena Stewart,Week 6
11,Hillary Reisinger,Week 5
11,Kristy Katzmann,Week 5
11,"Estefania ""Stephy"" Kootz",Week 4
11,Jade Beazley,Week 4
11,McCarten Delaney,Week 4
11,Lindsey Hawkins,Week 3
11,Sarah Newlon,Week 3
11,Solisa Shoop,Week 3
11,Michele Leavy,Week 2
11,Mallory Simons,Week 2
11,Erin Gardner,Week 2
11,Jessica Kiss,Week 1
11,Juli Gilliam,Week 1
11,Kim Orville,Week 1
11,Lori Langley,Week 1
11,Melissa Buschel,Week 1
11,Morgan Becker,Week 1
11,Natalie Penner,Week 1
11,Regina Doringa,Week 1
11,Tauni Nessler ,Week 1
11,Susan Stein,Week 1
12,Shayne Lamas,Week 9
12,Chelsea Wanstrath,Week 8
12,Amanda Rantuccio,Week 7
12,Noelle Drake,Week 6
12,Marshana Ritchie,Week 5
12,Robin Canfield,Week 5
12,Ashlee Williss,Week 4
12,Kelly,Week 4
12,Holly Durst,Week 4
12,Erin S.,Week 3
12,Amy,Week 3
12,Kristine Heffelfinger,Week 3
12,Michelle,Week 2
12,Carri Perrier,Week 2
12,Erin Harper,Week 2
12,Alyssa,Week 1
12,Amanda Petterman,Week 1
12,Denise,Week 1
12,Devon,Week 1
12,Lesley Geyer,Week 1
12,Michele,Week 1
12,Rebecca,Week 1
12,Stacey Elza,Week 1
12,Tamara,Week 1
12,Tiffany,Week 1
13,Melissa Rycroft,Week 9
13,Molly Malaney,Week 8 
13,Jillian Harris,Week 7
13,Naomi Rose Crespo,Week 6
13,Stephanie Hogan,Week 5
13,Lauren,Week 4
13,Megan Parris,Week 4
13,Shannon Bair,Week 4
13,"Nicole ""Nikki"" Kaapke",Week 4
13,Erica,Week 3
13,Kari Fajen,Week 3
13,Natalie Getz,Week 3
13,Raquel Medeiros,Week 2
13,Sharon Staebell,Week 2
13,Lisa Gonzalez,Week 2
13,Ann Lueders,Week 1
13,Dominique,Week 1
13,Emily,Week 1
13,Jackie,Week 1
13,Julie,Week 1
13,Nicole,Week 1
13,Renee,Week 1
13,Shelby,Week 1
13,Stacia,Week 1
13,Treasure,Week 1
14,Vienna Girardi,Week 9
14,Tenley Molzahn,Week 8
14,Gia Allemand,Week 7
14,Ali Fedotowsky,Week 6
14,Corrie Adamson,Week 5
14,Ashleigh Hunt,Week 4
14,Jessie Sulidis,Week 4
14,Kathryn Sherlock,Week 4
14,Ella Nolan,Week 4
14,Elizabeth Kitt (NE),Week 3
14,Valishia Savage,Week 3
14,Michelle Kujawa,Week 3
14,Ashley Elmore,Week 2
14,Christina McCasland,Week 2
14,Rozlyn Papa,Week 2
14,Alexa McAllister,Week 1
14,Caitlyn McCabe,Week 1
14,Channy Choch,Week 1
14,Elizabeth Kreft (D.C.),Week 1
14,Emily Harkins,Week 1
14,Kimberly Sullivan,Week 1
14,Kirsten Pittman,Week 1
14,Sheila Marie Lidner,Week 1
14,Stephanie Mueller,Week 1
14,Tiana Kruzel,Week 1
15,Emily Maynard,Week 11
15,Chantal O'Brien,Week 10
15,Ashley Hebert,Week 9 
15,Shawntel Newton,Week 8
15,Michelle Money,Week 7
15,Britt Billmaier,Week 7
15,Jackie Gordon,Week 6
15,Alli Travis,Week 6
15,Lisa Morrisey,Week 5
15,Marissa May,Week 5
15,Ashley Spivey,Week 5
15,Lindsay Hill,Week 4
15,Meghan Merritt,Week 4
15,Stacey Quirpel,Week 4
15,Kimberly Coon,Week 3
15,Sarah Powell,Week 3
15,Madison Garton,Week 3
15,Keltie Colleen,Week 2
15,Melissa Schreiber,Week 2
15,Raichel Goodyear,Week 2
15,Britnee,Week 1
15,Cristy Caserta,Week 1
15,"Jessica ""J""",Week 1
15,Jill Ruskowski,Week 1
15,Lacey Garbelman,Week 1
15,Lauren Moore,Week 1
15,Lisa P.,Week 1
15,Rebecca,Week 1
15,Renee Halpin,Week 1
15,Sarah Ledtke,Week 1
16,Courtney Robertson,Week 11
16,Lindzi Cox,Week 10
16,Nicki Sterling,Week 9 
16,Kacie Boguskie,Week 8
16,Emily O'Brien,Week 7
16,Rachel Truehart,Week 7
16,Jamie Otis,Week 6
16,Casey Shteamer,Week 6
16,Blakeley Jones,Week 6
16,Jennifer Fritsch,Week 5
16,Elyse Myers,Week 5
16,Monica Spannbauer,Week 4
16,Samantha Levey,Week 4
16,Jaclyn Swartz,Week 3
16,Erika Uhlig,Week 3
16,Brittney Schreiner,Week 3
16,Shawn Reynolds,Week 3
16,Jenna Burke,Week 2
16,Amber Bacon,Week 1
16,Amber Tierney,Week 1
16,Anna Snowball,Week 1
16,Dianna Martinez,Week 1
16,Holly Johnson,Week 1
16,Lyndsie James,Week 1
16,Shira Astrof,Week 1
17,Catherine Giudici,Week 11
17,Lindsay Yenter,Week 10
17,AshLee Frazier,Week 9 
17,Desiree Hartsock,Week 8
17,Lesley Murphy,Week 7
17,Tierra LiCausi,Week 7
17,Daniella McBride,Week 6
17,Selma Alameri,Week 6
17,Sarah Herron,Week 6
17,Robyn Howard,Week 5
17,Jackie Parr,Week 5
17,Amanda Meyer,Week 4
17,Leslie Hughes,Week 4
17,Kristy Kaminski,Week 3
17,Taryn Renee Daniels,Week 3
17,Kacie Boguskie,Week 3
17,Brooke Burchette,Week 2
17,Diana Weeks Willardson,Week 2
17,Katie Levans,Week 2
17,Ashley Harper,Week 1
17,Ashley Palenkas,Week 1
17,Kelly Dutton,Week 1
17,Keriann Miranda,Week 1
17,Lacey Latka,Week 1
17,Lauren Marchetti,Week 1
17,Paige Vigil,Week 1
18,Nikki Ferrell,Week 11
18,Clare Crawley,Week 10
18,Andi Dorfman,Week 9 
18,Renee Oteri,Week 8
18,Chelsie Webster,Week 7
18,Sharleen Joynt,Week 7
18,Kat Hurd,Week 6
18,Cassandra Ferguson,Week 6
18,Alli Restko,Week 5
18,Danielle Ronco,Week 5
18,Kelly Travis,Week 5
18,Elise Mosca,Week 4
18,Lauren Solomon,Week 4
18,Christy Hansen,Week 3
18,Lucy Aragon,Week 3
18,Amy Long,Week 2
18,Chantel Forrest,Week 2
18,Victoria Lima,Week 2
18,Alexis Morgado,Week 1
18,Amy Jokinen,Week 1
18,Ashley Poe,Week 1
18,Christine Llano,Week 1
18,Kylie Lewis,Week 1
18,Lacy Faddoul,Week 1
18,Lauren Higginson,Week 1
18,Maggie Gantt,Week 1
18,Valerie Eredia,Week 1
