Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Daniel R Luehrs,M,SBD,Single-ply,21,20-23,19-23,M-C,148.1,125+,235,247.5,-250,,247.5,145,-152.5,-152.5,,145,215,230,-237.5,,230,622.5,8,335.91,345.05,326.56,56.12,Yes,USA,TX,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Jack Ransome Little III,M,SBD,Single-ply,20,20-23,19-23,M-C,133.9,125+,295,-307.5,-320,,295,170,182.5,190,,190,230,-240,-240,,230,715,5,396.86,402.35,383.61,66.46,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
DJ Strah,M,SBD,Single-ply,21,20-23,19-23,M-C,122.5,125,-227.5,227.5,237.5,,237.5,185,-195,-195,,185,205,-227.5,-227.5,,205,627.5,7,357.94,359.10,344.04,60.17,Yes,USA,TX,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Conor Hozey,M,SBD,Single-ply,20,20-23,19-23,M-C,109.6,110,210,222.5,-230,,222.5,-170,170,-190,,170,205,215,225,,225,617.5,19,366.23,363.80,347.67,61.93,Yes,USA,MD,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Eric C. Lopez,M,SBD,Single-ply,22,20-23,19-23,M-C,101.9,110,227.5,237.5,250,,250,200,-210,-210,,200,-200,200,-220,,200,650,16,396.88,392.69,374.98,67.37,Yes,USA,TX,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Jordan Thomas #5,M,SBD,Single-ply,21,20-23,19-23,M-C,107.9,110,232.5,245,-252.5,,245,187.5,200,-210,,200,225,247.5,-275,,247.5,692.5,11,413.17,410.02,391.68,69.92,Yes,USA,GA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Nicholis Milardo,M,SBD,Single-ply,21,20-23,19-23,M-C,107,110,285,300,-310,,300,232.5,242.5,-250,,242.5,245,250,255,,255,797.5,4,477.38,473.49,452.24,80.83,Yes,USA,PA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Andy Loicano,M,SBD,Single-ply,20,20-23,19-23,M-C,94.3,100,-227.5,-227.5,-227.5,,,,,,,,,,,,,,DQ,,,,,Yes,USA,FL,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Christian Freudenberger,M,SBD,Single-ply,19,18-19,19-23,M-C,99.7,100,230,235,-240,,235,150,152.5,-155,,152.5,200,205,-210,,205,592.5,17,365.17,361.02,344.84,62.05,Yes,USA,MD,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
William Lindberg,M,SBD,Single-ply,21,20-23,19-23,M-C,98.4,100,205,-217.5,-220,,205,147.5,157.5,165,,165,237.5,-260,-260,,237.5,607.5,16,376.58,372.16,355.56,64.03,Yes,USA,CO,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Edward Schreiner,M,SBD,Single-ply,20,20-23,19-23,M-C,97.9,100,212.5,227.5,-232.5,,227.5,142.5,155,-162.5,,155,220,227.5,-242.5,,227.5,610,15,378.98,374.49,357.83,64.45,Yes,USA,PA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Andrew Mastone,M,SBD,Single-ply,20,20-23,19-23,M-C,98.8,100,-200,215,232.5,,232.5,155,165,-175,,165,217.5,227.5,237.5,,237.5,635,13,392.92,388.35,371.00,66.79,Yes,USA,MA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Adam Rubalcaba,M,SBD,Single-ply,18,18-19,19-23,M-C,95.8,100,232.5,242.5,252.5,,252.5,-165,-167.5,167.5,,167.5,215,247.5,-272.5,,247.5,667.5,10,418.81,413.65,395.49,71.30,Yes,USA,NY,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Alexander Bruno,M,SBD,Single-ply,21,20-23,19-23,M-C,88.7,90,207.5,215,-222.5,,215,147.5,-152.5,-160,,147.5,225,-235,-235,,225,587.5,23,382.70,377.88,362.40,65.34,Yes,USA,MD,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Tyler Maker,M,SBD,Single-ply,20,20-23,19-23,M-C,84.8,90,205,225,232.5,,232.5,130,-142.5,-142.5,,130,-215,237.5,-272.5,,237.5,600,21,400.27,395.53,380.10,68.43,Yes,USA,NY,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Jonathan Pepper,M,SBD,Single-ply,21,20-23,19-23,M-C,87.5,90,210,222.5,227.5,,227.5,-142.5,145,-147.5,,145,220,232.5,242.5,,242.5,615,18,403.45,398.44,382.35,68.92,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Cody McElroy,M,SBD,Single-ply,19,18-19,19-23,M-C,87.2,90,217.5,232.5,252.5,,252.5,-145,145,150,,150,185,197.5,212.5,,212.5,615,17,404.18,399.18,383.12,69.05,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Mathew Bogiano,M,SBD,Single-ply,18,18-19,,M-C,87.2,90,220,232.5,245,,245,140,-150,150,,150,225,-245,-245,,225,620,15,407.47,402.43,386.23,69.61,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Lee Keaffer,M,SBD,Single-ply,19,18-19,19-23,M-C,89.1,90,-250,250,-265,,250,-167.5,-167.5,167.5,,167.5,240,-252.5,-252.5,,240,657.5,13,427.31,421.92,404.54,72.95,Yes,USA,MA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Justin A. Garcia,M,SBD,Single-ply,18,18-19,19-23,M-C,86.8,90,260,-262.5,300,,300,145,160,-175,,160,227.5,237.5,-250,,237.5,697.5,8,459.51,453.86,435.69,78.51,Yes,USA,TX,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Cameron Goins,M,SBD,Single-ply,19,18-19,19-23,M-C,88,90,242.5,250,262.5,,262.5,142.5,155,-162.5,,155,215,260,282.5,,282.5,700,7,457.85,452.13,433.76,78.20,Yes,USA,NY,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Will Ingram,M,SBD,Single-ply,22,20-23,19-23,M-C,90,90,-250,-250,260,,260,185,-195,202.5,,202.5,-262.5,-272.5,272.5,,272.5,735,5,475.25,469.22,449.70,81.11,Yes,USA,MD,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Tommy Pittari,M,SBD,Single-ply,24,24-34,24-39,M-C,88,90,-272.5,-287.5,300,,300,180,190,197.5,,197.5,-262.5,282.5,-295,,282.5,780,2,510.18,503.80,483.33,87.13,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Jonathan Happy,M,SBD,Single-ply,20,20-23,19-23,M-C,80.6,82.5,160,-177.5,-177.5,,160,122.5,135,-145,,135,200,215,-227.5,,215,510,23,350.13,346.55,333.80,59.92,Yes,USA,MD,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Kevin Petty,M,SBD,Single-ply,21,20-23,19-23,M-C,81.6,82.5,175,-187.5,-197.5,,175,120,-132.5,-132.5,,120,215,227.5,-235,,227.5,522.5,22,356.16,352.35,339.20,60.94,Yes,USA,MD,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Bryan C McDonald,M,SBD,Single-ply,22,20-23,19-23,M-C,80.92,82.5,182.5,-190,195,,195,145,-152.5,-152.5,,145,187.5,200,-210,,200,540,21,369.87,366.03,352.50,63.30,Yes,USA,VA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Melvin Diaz,M,SBD,Single-ply,21,20-23,19-23,M-C,79.1,82.5,-185,187.5,190,,190,102.5,110,-115,,110,227.5,237.5,250,,250,550,20,381.81,378.20,364.59,65.36,Yes,USA,NJ,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Heracio Cortez,M,SBD,Single-ply,19,18-19,19-23,M-C,81,82.5,200,210,-220,,210,-120,127.5,-140,,127.5,200,215,-235,,215,552.5,19,378.22,374.28,360.43,64.73,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Billy Pepicelli,M,SBD,Single-ply,20,20-23,19-23,M-C,80.9,82.5,-205,-205,205,,205,142.5,152.5,-160,,152.5,192.5,205,-227.5,,205,562.5,18,385.34,381.34,367.25,65.95,Yes,USA,MA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Peter Van Steyn,M,SBD,Single-ply,19,18-19,19-23,M-C,80.1,82.5,-215,-227.5,227.5,,227.5,150,-160,-160,,150,210,220,227.5,,227.5,605,13,416.87,412.71,397.63,71.35,Yes,USA,VA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Edgar Raibuzise,M,SBD,Single-ply,21,20-23,19-23,M-C,81,82.5,265,-277.5,277.5,,277.5,162.5,-170,-172.5,,162.5,225,247.5,260,,260,700,6,479.19,474.20,456.65,82.01,Yes,USA,VA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Mark Jones #11,M,SBD,Single-ply,20,20-23,19-23,M-C,74.4,75,157.5,162.5,167.5,,167.5,117.5,122.5,-130,,122.5,182.5,192.5,-212.5,,192.5,482.5,25,347.95,345.75,334.19,59.59,Yes,USA,PA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Joseph Porzio,M,SBD,Single-ply,19,18-19,19-23,M-C,73.1,75,170,-172.5,187.5,,187.5,110,117.5,-127.5,,117.5,182.5,195,207.5,,207.5,512.5,21,373.85,371.89,359.73,64.02,Yes,USA,VA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Zach Weissmann,M,SBD,Single-ply,21,20-23,19-23,M-C,74.1,75,182.5,-195,-195,,182.5,132.5,137.5,142.5,,142.5,182.5,192.5,205,,205,530,18,383.20,380.87,368.20,65.62,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Jeff Calabrese,M,SBD,Single-ply,23,20-23,,M-C,74.1,75,190,-205,-205,,190,122.5,-132.5,132.5,,132.5,195,210,-237.5,,210,532.5,17,385.01,382.67,369.94,65.93,Yes,USA,NJ,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Darren Waters,M,SBD,Single-ply,19,18-19,19-23,M-C,73.8,75,185,-195,205,,205,117.5,-122.5,-130,,117.5,185,195,210,,210,532.5,16,386.02,383.77,371.07,66.11,Yes,USA,VA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Cameron Benner,M,SBD,Single-ply,20,20-23,19-23,M-C,74,75,-192.5,197.5,-205,,197.5,137.5,142.5,150,,150,212.5,220,-230,,220,567.5,12,410.67,408.21,394.66,70.33,Yes,USA,MD,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Cam Barrilleaux,M,SBD,Single-ply,20,20-23,19-23,M-C,75,75,225,-232.5,-232.5,,225,147.5,155,-160,,155,200,-212.5,-212.5,,200,580,10,416.10,413.29,399.33,71.26,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Titos M. Gosalvez,M,SBD,Single-ply,21,20-23,19-23,M-C,66.9,67.5,155,167.5,-182.5,,167.5,115,117.5,-122.5,,117.5,205,-212.5,-225,,205,490,12,380.12,380.52,369.52,65.01,Yes,USA,PA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Justin Barnett,M,SBD,Single-ply,19,18-19,19-23,M-C,67.1,67.5,-177.5,-177.5,177.5,,177.5,-140,-140,140,,140,205,225,-242.5,,225,542.5,7,419.94,420.28,408.07,71.82,Yes,USA,TX,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Patrick McAllister,M,SBD,Single-ply,21,20-23,19-23,M-C,67.3,67.5,192.5,195,205,,205,-137.5,-137.5,137.5,,137.5,200,215,-227.5,,215,557.5,5,430.62,430.86,418.29,73.65,Yes,USA,CO,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Harry Rohraf,M,SBD,Single-ply,20,20-23,19-23,M-C,59.3,60,150,155,-160,,155,110,117.5,-120,,117.5,142.5,150,160,,160,432.5,9,368.60,372.86,364.35,62.72,Yes,USA,FL,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Sidney Blecher,M,SBD,Single-ply,19,18-19,19-23,M-C,58.8,60,137.5,-165,-165,,137.5,-112.5,112.5,122.5,,122.5,152.5,172.5,-197.5,,172.5,432.5,8,371.22,375.81,367.40,63.13,Yes,USA,NY,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Rance Whitaker,M,SBD,Single-ply,21,20-23,19-23,M-C,58.8,60,177.5,185,-190,,185,115,-130,130,,130,175,185,-192.5,,185,500,5,429.15,434.46,424.74,72.99,Yes,USA,TX,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Brian Lentz,M,SBD,Single-ply,23,20-23,,M-C,55,56,-95,102.5,-115,,102.5,85,92.5,-95,,92.5,-137.5,145,-167.5,,145,340,8,309.23,315.07,309.24,52.35,Yes,USA,PA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Lawrence Cavins,M,SBD,Single-ply,18,18-19,19-23,M-C,54.4,56,120,-135,-135,,120,80,-92.5,-92.5,,80,130,145,-155,,145,345,7,316.90,323.23,317.46,53.60,Yes,USA,NY,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
William Wilkins,M,SBD,Single-ply,19,18-19,19-23,M-C,55.5,56,127.5,135,142.5,,142.5,82.5,92.5,-95,,92.5,130,-150,165,,165,400,5,360.87,367.36,360.37,61.13,Yes,USA,NY,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Ethan Rousseau,M,SBD,Single-ply,20,20-23,19-23,M-C,52,52,25,130,-132.5,,130,25,62.5,-87.5,,62.5,57.5,137.5,145,,145,337.5,2,323.25,331.18,326.15,54.45,Yes,USA,MA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Rachael Richey,F,SBD,Single-ply,19,18-19,19-23,F-C,160.8,90+,125,142.5,155,,155,77.5,85,-100,,85,130,140,-145,,140,380,5,292.89,291.90,242.05,51.37,Yes,USA,TX,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Elizabeth Fierman,F,SBD,Single-ply,21,20-23,19-23,F-C,89.9,90,165,182.5,192.5,,192.5,112.5,120,-137.5,,120,137.5,145,160,,160,472.5,2,421.45,408.46,355.08,72.44,Yes,USA,MA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Brittany Torres,F,SBD,Single-ply,21,20-23,19-23,F-C,75.4,82.5,142.5,147.5,-150,,147.5,-92.5,95,100,,100,-120,130,-132.5,,130,377.5,3,366.65,357.68,314.57,62.16,Yes,USA,TX,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Natalie Escareno,F,SBD,Single-ply,20,20-23,19-23,F-C,70.1,75,80,100,120,,120,40,47.5,-60,,47.5,80,95,-107.5,,95,262.5,9,265.24,260.89,229.96,44.76,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Emily Bearden,F,SBD,Single-ply,19,18-19,19-23,F-C,73.6,75,110,-120,122.5,,122.5,40,52.5,-57.5,,52.5,112.5,120,-127.5,,120,295,8,290.22,283.82,249.83,49.13,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Teressa K. Wilson,F,SBD,Single-ply,20,20-23,19-23,F-C,74.6,75,-102.5,-102.5,102.5,,102.5,-72.5,72.5,-77.5,,72.5,112.5,122.5,132.5,,132.5,307.5,7,300.35,293.31,258.06,50.89,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Chelsie Batiste,F,SBD,Single-ply,18,18-19,,F-C,73,75,130,142.5,155,,155,55,62.5,-70,,62.5,-135,-145,145,,145,362.5,6,358.21,350.61,308.71,60.60,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Gabriela Guzman,F,SBD,Single-ply,19,18-19,19-23,F-C,73,75,-165,165,170,,170,-87.5,92.5,-97.5,,92.5,150,155,-157.5,,155,417.5,4,412.55,403.81,355.55,69.80,Yes,USA,TX,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Genevieue Harmon,F,SBD,Single-ply,22,20-23,19-23,F-C,65,67.5,77.5,85,-90,,85,42.5,-47.5,-47.5,,42.5,115,122.5,-127.5,,122.5,250,9,263.87,262.28,231.50,44.35,Yes,USA,MD,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Michelle McMillen,F,SBD,Single-ply,20,20-23,19-23,F-C,66.2,67.5,95,105,112.5,,112.5,50,52.5,-57.5,,52.5,117.5,122.5,-132.5,,122.5,287.5,8,300.19,297.59,262.60,50.50,Yes,USA,CO,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Alana Crump,F,SBD,Single-ply,18,18-19,,F-C,65.8,67.5,105,-117.5,122.5,,122.5,52.5,57.5,-65,,57.5,110,120,-132.5,,120,300,7,314.36,311.91,275.26,52.87,Yes,USA,LA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
Elizabeth Arpino,F,SBD,Single-ply,20,20-23,19-23,F-C,65.5,67.5,115,125,-137.5,,125,52.5,57.5,-62.5,,57.5,125,-137.5,137.5,,137.5,320,5,336.22,333.82,294.62,56.54,Yes,USA,MA,USAPL,IPF,2011-04-01,USA,PA,Scranton,Collegiate Nationals,Yes
