"Name","Sex","Event","Equipment","Age","AgeClass","BirthYearClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Dots","Wilks","Glossbrenner","Goodlift","Tested","Country","State","Federation","ParentFederation","Date","MeetCountry","MeetState","MeetTown","MeetName","Sanctioned"
"Tessa Smith","F","SBD","Single-ply",22.5,"20-23","19-23","F-C",71.3,"72",-105,-120,-120,NA,NA,57.5,67.5,-82.5,NA,67.5,-102.5,-112.5,-117.5,NA,NA,67.5,"37",67.56,66.31,58.43,11.41,"Yes","",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Magdiel Alvarez","F","SBD","Single-ply",18.5,"18-19","19-23","F-C",71.4,"72",-147.5,-147.5,-147.5,NA,NA,62.5,65,67.5,NA,67.5,110,-120,120,NA,120,187.5,"38",187.53,184.03,162.14,31.68,"Yes","USA",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Amber Woodard","F","SBD","Single-ply",20.5,"20-23","19-23","F-C",71.8,"72",62.5,85,92.5,NA,92.5,52.5,-62.5,62.5,NA,62.5,-105,107.5,120,NA,120,275,"32",274.21,268.91,236.89,46.34,"Yes","",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Mackenzie Harrman","F","SBD","Single-ply",NA,"","","F-C",69.2,"72",110,-117.5,117.5,NA,117.5,65,-80,-80,NA,65,117.5,127.5,-137.5,NA,127.5,310,"28",315.52,310.87,274.1,53.21,"Yes","",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Anna Barratt","F","SBD","Single-ply",20.5,"20-23","19-23","F-C",70.6,"72",115,122.5,-125,NA,122.5,55,-60,60,NA,60,127.5,132.5,135,NA,135,317.5,"26",319.55,314.02,276.75,53.95,"Yes","",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Sara Pelletier","F","SBD","Single-ply",20.5,"20-23","19-23","F-C",63.1,"72",135,-140,-140,NA,135,-60,60,-62.5,NA,60,105,120,125,NA,125,320,"24",343.83,343.25,303.09,57.72,"Yes","USA",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Miranda De La Morena","F","SBD","Single-ply",21.5,"20-23","19-23","F-C",68.8,"72",92.5,102.5,112.5,NA,112.5,65,72.5,-75,NA,72.5,125,137.5,152.5,NA,152.5,337.5,"21",344.65,339.83,299.67,58.1,"Yes","USA",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Jennifer Fofi","F","SBD","Single-ply",19.5,"20-23","19-23","F-C",66.2,"72",137.5,147.5,157.5,NA,157.5,57.5,-60,60,NA,60,110,122.5,130,NA,130,347.5,"19",362.84,359.69,317.4,61.04,"Yes","USA",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Jalyn Holt","F","SBD","Single-ply",21.5,"20-23","19-23","F-C",68.8,"72",142.5,147.5,152.5,NA,152.5,62.5,67.5,-70,NA,67.5,137.5,155,-162.5,NA,155,375,"16",382.94,377.58,332.96,64.56,"Yes","USA",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Briana Villarreal","F","SBD","Single-ply",21.5,"20-23","19-23","F-C",68.6,"72",-172.5,172.5,-177.5,NA,172.5,77.5,82.5,-87.5,NA,82.5,-175,177.5,187.5,NA,187.5,442.5,"6",452.62,446.46,393.72,76.29,"Yes","USA",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Gina Lamm","F","SBD","Single-ply",20.5,"20-23","19-23","F-C",61.2,"63",90,97.5,-105,NA,97.5,50,-55,-55,NA,50,92.5,102.5,112.5,NA,112.5,260,"23",284.67,285.47,252.17,47.73,"Yes","",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Rachael McFarland","F","SBD","Single-ply",19.5,"20-23","19-23","F-C",62.5,"63",92.5,-102.5,-102.5,NA,92.5,55,-60,60,NA,60,92.5,105,115,NA,115,267.5,"21",289.1,289.03,255.24,48.51,"Yes","USA",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Cameron King #2","F","SBD","Single-ply",20.5,"20-23","19-23","F-C",61.4,"63",-130,135,140,NA,140,57.5,-60,-60,NA,57.5,105,112.5,120,NA,120,317.5,"16",346.92,347.74,307.15,58.17,"Yes","USA",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
"Sheila Zare","F","SBD","Single-ply",20.5,"20-23","19-23","F-C",60.9,"63",110,117.5,125,NA,125,75,82.5,87.5,NA,87.5,130,147.5,155,NA,155,367.5,"11",403.6,405.04,357.8,67.66,"Yes","USA",NA,"USAPL","IPF","2015-04-10","USA","GA",NA,"Collegiate Nationals","Yes"
