"","Metabolite","Enterococcus","Pseudomonas","Faecalibacterium","Lacticaseibacillus","Subdoligranulum","Rothia","Blautia","Veillonella","Clostridium sensu stricto 1","UCG-002","Ralstonia"
"1","cholate","0.359802764","0.064690447","-0.279303702","0.202249521","-0.010050905","0.039144267","-0.139295278","0.19824507","0.135067472","-0.311757428","0.059875904"
"2","linoleate (18:2n6)","0.155399853","0.223546289","-0.080346017","0.091518427","-0.100206995","0.081108703","-0.109903027","-0.05212395","0.205745956","-0.000651415","0.176118895"
"3","N-formylmethionine","-0.081538273","-0.162609698","0.072665394","-0.204973283","0.11277032","-0.178517602","0.15623158","-0.301057727","-0.211939149","0.332007951","-0.208513308"
"4","5-methylthioadenosine (MTA)","-0.057252687","-0.2063622","0.08733126","-0.194016941","-0.099453926","-0.254823635","0.196178871","-0.090703125","-0.190001349","0.301762126","-0.152792333"
"5","aspartate","0.355184634","0.294332052","-0.35863104","0.149765092","-0.312142045","0.274799414","-0.267553997","0.219256103","0.332135938","-0.179268263","0.311824618"
"6","biliverdin","0.12696333","0.283474991","-0.084385889","0.031758773","-0.137349891","0.115309783","-0.117060893","-0.133331319","0.057992547","-0.073411049","0.174011387"
"7","choline phosphate","-0.319534517","-0.280648256","0.266386275","-0.245122626","0.292606443","-0.257920962","0.328191715","-0.242824157","-0.098145309","0.326949091","-0.236369153"
"8","cystine","-0.23202644","-0.150749102","0.110832401","-0.037000598","0.041503641","-0.218999823","0.119130457","-0.126992084","-0.190740618","0.028655883","-0.098625164"
"9","sphingosine","-0.13160221","-0.251754765","0.055848579","-0.174898628","0.044121618","-0.137820246","0.214314751","-0.077060127","0.045574312","0.024370712","-0.236864462"
"10","glycocholate","0.30497147","0.217899014","-0.105037329","0.121526633","-0.147246173","0.210244869","-0.164105031","0.054592541","0.127570392","-0.116294997","0.160625606"
"11","histidine","-0.269362044","-0.284362013","0.207831386","-0.340203207","0.16416804","-0.290033928","0.195818634","-0.138990472","-0.083210192","0.117515844","-0.247051345"
"12","myo-inositol","-0.436170669","-0.236005692","0.295095739","-0.285036412","0.104767569","-0.323358336","0.294397314","-0.252885275","-0.210487583","0.224616201","-0.190421422"
"13","citrulline","-0.347037048","-0.410688108","0.138403438","-0.145767816","0.237991351","-0.24776405","0.221337328","-0.1592095","-0.125593035","0.224938922","-0.359469357"
"14","lysine","-0.283076846","-0.241299707","0.09107049","-0.198145937","0.100368647","-0.030916982","0.133998394","-0.229054741","0.002435433","0.257878226","-0.284498302"
"15","phenylalanine","0.244511586","0.262670608","-0.184335455","0.071891978","-0.207255826","0.051946886","-0.271950767","0.252580756","0.105774188","-0.079866027","0.284276284"
"16","proline","-0.137720553","-0.206818214","0.010871324","-0.101635124","0.01876686","-0.181649892","0.093959282","-0.096817832","-0.066066255","0.147205355","-0.186957296"
"17","retinol (vitamin A)","-0.360076425","-0.344547623","0.149673791","-0.186295014","0.119629226","-0.138914968","0.25884888","-0.244428023","-0.195730175","0.077254875","-0.341045595"
"18","salicylate","-0.255881302","-0.136253841","0.15567288","-0.187415056","0.243273172","-0.156179304","0.194058701","-0.157712257","-0.269357742","0.099051462","-0.271344271"
