"","Metabolite_ID","Metabolite","SuperPathway","SubPathway","HMDB","KEGG","PUBCHEM"
"1","35","S-1-pyrroline-5-carboxylate","Amino Acid","Glutamate Metabolism","HMDB0001301","C04322","11966181"
"2","50","spermidine","Amino Acid","Polyamine Metabolism","HMDB0001257","C00315","1102"
"3","55","1-methylnicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","HMDB0000699","C02918","457"
"4","62","12,13-DiHOME","Lipid","Fatty Acid, Dihydroxy","HMDB0004705","C14829","10236635"
"5","93","alpha-ketoglutarate","Energy","TCA Cycle","HMDB0000208","C00026","51"
"6","98","kynurenate","Amino Acid","Tryptophan Metabolism","HMDB0000715","C01717","3845"
"7","111","3-hydroxyisobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism","HMDB0000023,HMDB0000336","C01188,C06001","11966314"
"8","112","3-hydroxy-3-methylglutarate","Lipid","Mevalonate Metabolism","HMDB0000355","C03761","16625459993"
"9","117","homovanillate (HVA)","Amino Acid","Tyrosine Metabolism","HMDB0000118","C05582","1738"
"10","136","cholate","Lipid","Primary Bile Acid Metabolism","HMDB0000619","C00695","221493"
"11","144","4-hydroxyphenylacetate","Amino Acid","Phenylalanine Metabolism","HMDB0000020","C00642","127"
"12","158","5,6-dihydrothymine","Nucleotide","Pyrimidine Metabolism, Thymine containing","HMDB0000079","C00906","93556"
"13","171","hypoxanthine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","HMDB0000157","C00262","7.90135E+11"
"14","179","9,10-DiHOME","Lipid","Fatty Acid, Dihydroxy","HMDB0004704","C14828","9966640"
"15","180","linoleate (18:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0006270,HMDB0000673","C01595","5280450"
"16","181","laurate (12:0)","Lipid","Medium Chain Fatty Acid","HMDB0000638","C02679","3893"
"17","182","quinolinate","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","HMDB0000232","C03722","1066"
"18","187","N('1)-acetylspermidine","Amino Acid","Polyamine Metabolism","HMDB0001276","C00612","496"
"19","189","N6,N6,N6-trimethyllysine","Amino Acid","Lysine Metabolism","HMDB0001325","C03793","440120"
"20","192","N-acetylputrescine","Amino Acid","Polyamine Metabolism","HMDB0002064","C02714","122356"
"21","194","N-formylmethionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0001015","C03145","439750"
"22","209","adenosine 5'-monophosphate (AMP)","Nucleotide","Purine Metabolism, Adenine containing","HMDB0000045","C00020","6083"
"23","212","5-methylthioadenosine (MTA)","Amino Acid","Polyamine Metabolism","HMDB0001173","C00170","439176"
"24","229","arachidonate (20:4n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","HMDB0001043","C00219","444899"
"25","231","arginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","HMDB0000517","C00062","6322"
"26","234","aspartate","Amino Acid","Alanine and Aspartate Metabolism","HMDB0000191","C00049","5960"
"27","240","3-(4-hydroxyphenyl)lactate","Amino Acid","Tyrosine Metabolism","HMDB0000755","C03672","9378"
"28","241","phenylpyruvate","Amino Acid","Phenylalanine Metabolism","HMDB0000205","C00166","997"
"29","244","beta-alanine","Nucleotide","Pyrimidine Metabolism, Uracil containing","HMDB0000056","C00099","239"
"30","250","biliverdin","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","HMDB0001008","C00500","5280353"
"31","252","succinate","Energy","TCA Cycle","HMDB0000254","C00042","1110"
"32","254","3-hydroxybutyrate (BHBA)","Lipid","Ketone Bodies","HMDB0000442,HMDB0000357,HMDB0000011","C03197,C01089","9.43184E+12"
"33","266","cholesterol","Lipid","Sterol","HMDB0000067","C00187","5.99764E+18"
"34","267","choline phosphate","Lipid","Phospholipid Metabolism","HMDB0001565","C00588","1014"
"35","272","corticosterone","Lipid","Corticosteroids","HMDB0001547","C02140","5753"
"36","273","cortisone","Lipid","Corticosteroids","HMDB0002802","C00762","222786"
"37","275","creatinine","Amino Acid","Creatine Metabolism","HMDB0000562","C00791","588"
"38","278","cysteinylglycine","Amino Acid","Glutathione Metabolism","HMDB0000078","C01419","439498"
"39","279","cystine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0000192","C00491","67678"
"40","297","sphingosine","Lipid","Sphingosines","HMDB0000252","C00319","5280335"
"41","310","cystathionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","HMDB0000099","C02291","439258"
"42","313","sphinganine","Lipid","Sphingolipid Synthesis","HMDB0000269","C00836","3126"
